i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.reads 273272
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.writes 143731
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activates 329482
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.precharges 329482
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeCycles 11500057
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.standbyCycles 56906101
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitActiveCycles 8418402
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitPrechargeCycles 13050329
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaits 25275
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitTotal 50507
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitAverage 1.9983
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.subArrayEnergy 1.35398e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activeEnergy 3.63848e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.burstEnergy 2.53644e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredPauses 144001
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.reads 272739
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writes 144001
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activates 334573
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.precharges 334572
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaits 1686342
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitTotal 15772867
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitAverage 9.3533
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredWriteTimes 144001
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelCountHisto {0: 144000}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankEnergy 1.35398e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activeEnergy 3.63848e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstEnergy 2.53644e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankPower 0.00225977W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activePower 0.000607258W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstPower 0.000423329W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bandwidth 623.835MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.dataCycles 1666960
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.powerCycles 68406158
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.utilization 0.0243686
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.reads 272739
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.writes 144001
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activates 334573
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.precharges 334572
