i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 1684768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 4437873
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 5820254
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 18009367
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 19105
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 37913
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.98445
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 2.86488e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 1.88888e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 2.21596e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 8823
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 27742
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 8823
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 17369
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 17368
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaits 81521
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitTotal 1358923
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitAverage 16.6696
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredWriteTimes 8823
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelCountHisto {0: 8822}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankEnergy 2.86488e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeEnergy 1.88888e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstEnergy 2.21596e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankPower 0.00143472W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activePower 9.45945e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstPower 0.000110974W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshPower 0.00122916W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bandwidth 611.543MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.dataCycles 146260
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.powerCycles 6122641
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.utilization 0.0238884
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.reads 27742
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.writes 8823
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activates 17369
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.precharges 17368
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeCycles 1817239
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.standbyCycles 4305402
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitActiveCycles 6287243
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitPrechargeCycles 17542378
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaits 20250
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitTotal 40164
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitAverage 1.98341
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.subArrayEnergy 2.8569e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activeEnergy 1.87626e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.burstEnergy 2.14877e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredPauses 8996
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.reads 26442
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.writes 8996
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activates 17253
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.precharges 17253
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaits 79728
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitTotal 1363476
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.actWaitAverage 17.1016
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.measuredWriteTimes 8996
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.mlcTimingHisto {}
