i0.MultiQueueMigrator.migrationCount 262
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 1476}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 3.3434e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 201405mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 177512mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 0.00138582W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 8.34816e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 7.35782e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 462.826MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 11588
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.0180792
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 1420
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 1477
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 1852
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 1852
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 176799
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 464160
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 559154
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 2418740
