i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 48855
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 48854}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 4.95416e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 9.96792e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 7.52764e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 0.00190024W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 0.000382334W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 0.000288734W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 0.00122918W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 617.498MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 493700
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 20467627
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.024121
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 74570
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 48855
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 91659
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 91658
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 25036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 3818321
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 16649306
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 4931515
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 13707673
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 14746
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 29238
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.98277
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 4.9106e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 9.65939e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 7.40053e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 48147
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 73189
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 48147
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 88822
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 88822
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 25036
