i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 90518}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 3.09246e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 1.56262e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 2.04772e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 0.00139166W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 7.03204e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 9.21508e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 538.549MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 1350060
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 64175327
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.0210371
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 246996
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 90519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 143689
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 143689
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 15664203
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 48511124
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 57688563
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 211457176
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 175704
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 349715
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.99036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
